X,Y,Z
-88.3827,-7.7656,-0.0292
-88.2389,-9.2509,-0.0292
-88.0710,-10.7336,-0.0292
-87.8786,-12.2133,-0.0292
-87.6601,-13.6895,-0.0292
-87.4175,-15.1618,-0.0292
-87.1508,-16.6300,-0.0292
-86.8581,-18.0932,-0.0292
-86.5415,-19.5514,-0.0292
-86.2011,-21.0043,-0.0292
-85.8351,-22.4509,-0.0292
-85.4453,-23.8913,-0.0292
-85.0319,-25.3251,-0.0292
-84.5936,-26.7515,-0.0292
-84.1315,-28.1703,-0.0292
-83.6464,-29.5815,-0.0292
-83.1368,-30.9840,-0.0292
-82.6037,-32.3777,-0.0292
-82.0479,-33.7625,-0.0292
-81.4683,-35.1376,-0.0292
-80.8656,-36.5026,-0.0292
-80.2406,-37.8576,-0.0292
-79.5925,-39.2018,-0.0292
-78.9216,-40.5346,-0.0292
-78.2290,-41.8564,-0.0292
-77.5141,-43.1662,-0.0292
-76.7768,-44.4635,-0.0292
-76.0184,-45.7486,-0.0292
-75.2385,-47.0207,-0.0292
-74.4366,-48.2792,-0.0292
-73.6142,-49.5243,-0.0292
-72.7713,-50.7556,-0.0292
-71.9069,-51.9720,-0.0292
-71.0227,-53.1740,-0.0292
-70.1189,-54.3613,-0.0292
-69.1942,-55.5325,-0.0292
-68.2505,-56.6884,-0.0292
-67.2879,-57.8287,-0.0292
-66.3053,-58.9517,-0.0292
-65.3045,-60.0585,-0.0292
-64.2857,-61.1488,-0.0292
-63.2477,-62.2208,-0.0292
-62.1923,-63.2757,-0.0292
-61.1198,-64.3131,-0.0292
-60.0291,-65.3316,-0.0292
-58.9218,-66.3318,-0.0292
-57.7983,-67.3138,-0.0292
-56.6577,-68.2760,-0.0292
-55.5013,-69.2191,-0.0292
-54.3297,-70.1432,-0.0292
-53.1421,-71.0467,-0.0292
-51.9396,-71.9302,-0.0292
-50.7228,-72.7940,-0.0292
-49.4913,-73.6366,-0.0292
-48.2457,-74.4583,-0.0292
-46.9868,-75.2595,-0.0292
-45.7144,-76.0391,-0.0292
-44.4289,-76.7968,-0.0292
-43.1312,-77.5334,-0.0292
-41.8212,-78.2480,-0.0292
-40.4991,-78.9399,-0.0292
-39.1659,-79.6101,-0.0292
-37.8216,-80.2577,-0.0292
-36.4662,-80.8820,-0.0292
-35.1009,-81.4841,-0.0292
-33.7256,-82.0632,-0.0292
-32.3405,-82.6182,-0.0292
-30.9465,-83.1506,-0.0292
-29.5438,-83.6597,-0.0292
-28.1325,-84.1442,-0.0292
-26.7134,-84.6056,-0.0292
-25.2869,-85.0434,-0.0292
-23.8528,-85.4560,-0.0292
-22.4123,-85.8452,-0.0292
-20.9655,-86.2106,-0.0292
-19.5125,-86.5503,-0.0292
-18.0541,-86.8663,-0.0292
-16.5908,-87.1583,-0.0292
-15.1225,-87.4243,-0.0292
-13.6500,-87.6663,-0.0292
-12.1738,-87.8841,-0.0292
-10.6939,-88.0758,-0.0292
-9.2112,-88.2431,-0.0292
-7.7258,-88.3862,-0.0292
-6.2382,-88.5031,-0.0292
-4.7489,-88.5954,-0.0292
-3.2582,-88.6633,-0.0292
-1.7666,-88.7051,-0.0292
-0.2745,-88.7221,-0.0292
1.2177,-88.7148,-0.0292
2.7095,-88.6813,-0.0292
4.2006,-88.6230,-0.0292
5.6905,-88.5404,-0.0292
7.1788,-88.4318,-0.0292
8.6650,-88.2984,-0.0292
10.1488,-88.1407,-0.0292
11.6297,-87.9572,-0.0292
13.1073,-87.7490,-0.0292
14.5813,-87.5166,-0.0292
16.0511,-87.2588,-0.0292
17.5163,-86.9762,-0.0292
18.9767,-86.6698,-0.0292
20.4316,-86.3382,-0.0292
21.8806,-85.9821,-0.0292
23.3237,-85.6024,-0.0292
24.7601,-85.1978,-0.0292
26.1893,-84.7691,-0.0292
27.6114,-84.3171,-0.0292
29.0255,-83.8406,-0.0292
30.4314,-83.3403,-0.0292
31.8288,-82.8172,-0.0292
33.2171,-82.2700,-0.0292
34.5959,-81.6995,-0.0292
35.9652,-81.1064,-0.0292
37.3242,-80.4900,-0.0292
38.6724,-79.8506,-0.0292
40.0101,-79.1893,-0.0292
