t,f
0.0, 0.0
0.001, 0.0
0.002, 109.159
0.003, 0.0
0.004, 1024.41
0.005, 0.0
0.006, 0.0
0.007, 30.1941
0.008, 0.0
0.009000000000000001, -478.009
0.010000000000000002, 0.0
0.011000000000000003, 906.522
0.012000000000000004, 0.0
0.013000000000000005, 0.0
0.014000000000000005, 1591.82
0.015000000000000006, 0.0
0.016000000000000007, 0.0
0.017000000000000008, 0.0
0.01800000000000001, 0.0
0.01900000000000001, 160.028
0.02000000000000001, 0.0
0.02100000000000001, 1636.33
0.022000000000000013, 0.0
0.023000000000000013, 0.0
0.024000000000000014, 788.264
0.025000000000000015, 0.0
0.026000000000000016, 668.633
0.027000000000000017, 0.0
0.028000000000000018, 0.0
0.02900000000000002, 0.0
0.03000000000000002, 0.0
0.03100000000000002, 0.0
0.03200000000000002, 0.0
0.03300000000000002, 0.0
0.03400000000000002, 0.0
0.035000000000000024, 0.0
0.036000000000000025, 0.0
0.037000000000000026, 1363.32
0.03800000000000003, 0.0
0.03900000000000003, 0.0
0.04000000000000003, 0.0
0.04100000000000003, 0.0
0.04200000000000003, 0.0
0.04300000000000003, 2506.02
0.04400000000000003, 0.0
0.04500000000000003, 0.0
0.046000000000000034, 1593.69
0.047000000000000035, 0.0
0.048000000000000036, 0.0
0.04900000000000004, 0.0
0.05000000000000004, 0.0
0.05100000000000004, 0.0
0.05200000000000004, 0.0
0.05300000000000004, 0.0
0.05400000000000004, 0.0
0.05500000000000004, 1377.51
0.05600000000000004, -2258.22
0.057000000000000044, 970.988
0.058000000000000045, 0.0
0.059000000000000045, 840.089
0.060000000000000046, 0.0
0.06100000000000005, 0.0
0.06200000000000005, 899.118
0.06300000000000004, 0.0
0.06400000000000004, 0.0
0.06500000000000004, 0.0
0.06600000000000004, 0.0
0.06700000000000005, -30.6042
0.06800000000000005, 1254.79
0.06900000000000005, 0.0
0.07000000000000005, 0.0
0.07100000000000005, 683.343
0.07200000000000005, 0.0
0.07300000000000005, 0.0
0.07400000000000005, 675.036
0.07500000000000005, 393.37
0.07600000000000005, 720.356
0.07700000000000005, 1523.37
0.07800000000000006, 0.0
0.07900000000000006, 0.0
0.08000000000000006, 0.0
0.08100000000000006, 0.0
0.08200000000000006, 0.0
0.08300000000000006, 70.2096
0.08400000000000006, 0.0
0.08500000000000006, 1164.63
0.08600000000000006, -414.664
0.08700000000000006, 796.397
0.08800000000000006, 0.0
0.08900000000000007, 0.0
0.09000000000000007, 0.0
0.09100000000000007, 0.0
0.09200000000000007, 0.0
0.09300000000000007, -316.559
0.09400000000000007, 0.0
0.09500000000000007, 0.0
0.09600000000000007, 0.0
0.09700000000000007, 0.0
0.09800000000000007, -21.5559
0.09900000000000007, 0.0
0.10000000000000007, -51.2628
0.10100000000000008, 0.0
0.10200000000000008, 1243.9
0.10300000000000008, -629.53
0.10400000000000008, 751.245
0.10500000000000008, 0.0
0.10600000000000008, 0.0
0.10700000000000008, 0.0
0.10800000000000008, 0.0
0.10900000000000008, 2722.44
0.11000000000000008, 0.0
0.11100000000000008, 850.824
0.11200000000000009, 187.317
0.11300000000000009, -49.7408
0.11400000000000009, 0.0
0.11500000000000009, 0.0
0.11600000000000009, 0.0
0.11700000000000009, 0.0
0.11800000000000009, 946.638
0.11900000000000009, 0.0
0.12000000000000009, 531.277
0.1210000000000001, 3601.31
0.1220000000000001, 300.973
0.1230000000000001, 2903.73
0.1240000000000001, 0.0
0.12500000000000008, 0.0
0.12600000000000008, 0.0
0.12700000000000009, 0.0
0.12800000000000009, 0.0
0.1290000000000001, 219.882
0.1300000000000001, -1444.41
0.1310000000000001, 0.0
0.1320000000000001, 536.603
0.1330000000000001, -1655.72
0.1340000000000001, 750.778
0.1350000000000001, 0.0
0.1360000000000001, 35.8266
0.1370000000000001, 92.9442
0.1380000000000001, 0.0
0.1390000000000001, 1136.72
0.1400000000000001, 0.0
0.1410000000000001, 0.0
0.1420000000000001, 0.0
0.1430000000000001, 0.0
0.1440000000000001, 0.0
0.1450000000000001, 0.0
0.1460000000000001, 263.63
0.1470000000000001, 0.0
0.1480000000000001, 3922.84
0.1490000000000001, 0.0
0.1500000000000001, 0.0
0.1510000000000001, 0.0
0.1520000000000001, 0.0
0.1530000000000001, 0.0
0.1540000000000001, 0.0
0.1550000000000001, 0.0
0.1560000000000001, 0.0
0.1570000000000001, 0.0
0.1580000000000001, 0.0
0.1590000000000001, 0.0
0.16000000000000011, 0.0
0.16100000000000012, 0.0
0.16200000000000012, 0.0
0.16300000000000012, 0.0
0.16400000000000012, 2445.52
0.16500000000000012, 0.0
0.16600000000000012, 0.0
0.16700000000000012, 0.0
0.16800000000000012, 0.0
0.16900000000000012, 0.0
0.17000000000000012, 0.0
0.17100000000000012, 76.2757
0.17200000000000013, 0.0
0.17300000000000013, -259.123
0.17400000000000013, 0.0
0.17500000000000013, 834.354
0.17600000000000013, 0.0
0.17700000000000013, 0.0
0.17800000000000013, 2809.77
0.17900000000000013, 0.237515
0.18000000000000013, 0.0
0.18100000000000013, 2359.84
0.18200000000000013, 13.3522
0.18300000000000013, 2.72232
0.18400000000000014, 305.892
0.18500000000000014, 0.0
0.18600000000000014, 0.0
0.18700000000000014, 1854.54
0.18800000000000014, 448.027
0.18900000000000014, 4337.85
0.19000000000000014, 963.612
0.19100000000000014, 1011.52
0.19200000000000014, -2444.54
0.19300000000000014, 491.766
0.19400000000000014, 0.0
0.19500000000000015, 0.0
0.19600000000000015, 0.0
0.19700000000000015, 0.0
0.19800000000000015, 85.1023
0.19900000000000015, 1385.24
